Movie_Name,BO_Collection,Budget,Box_Office_Verdict
Pyaar Ka Punchnama 2,53.25,25,Hit
Shandaar,38.28,68,Flop
Singh is Bliing,74.87,92,Flop
Jazbaa,24.3,30,Flop
Talvar,24,22,Plus
Kis Kisko Pyaar Karoon,44.8,20,Hit
Calendar Girls,7,12,Flop
Katti Batti,22.96,36,Flop
Hero,31.75,28,Plus
Welcome Back,96.88,100,Average
Phantom,49.84,70,Flop
All is Well,12.65,36,Flop
Manjhi,13.36,8.5,Plus
Brothers,77.18,82,Flop
Drishyam,65.22,65,Average
Bajrangi Bhaijaan,318.14,125,All Time Blockbuster
Bangistan,5.42,26,Flop
Baahubali (Hindi),111.38,130,Hit
Masaan,2.1,6,Flop
I Love NY,2.5,15,Flop
ABCD 2,105.01,60,Super Hit
Guddu Rangeela,7.97,15,Flop
Second Hand Husband,2.61,9,Flop
Tanakpur,1.87,9,Flop
Hamari Adhuri Kahani,30.21,45,Flop
Dil Dhadakne Do,74.18,86,Flop
Tanu Weds Manu,148.47,40,Blockbuster
Welcome To Karachi,8,20,Flop
Piku,78.69,50,Hit
Gabbar is Back,85.41,72,Hit
Bombay Velvet,23.87,110,Disaster
Kuch Kuch Locha Hain,4.12,16,Flop
Mr X,19.43,39,Flop
Leela,20.34,18,Average
Dharam Sankat Mein,8.15,16,Flop
Byomkesh Bakshi,22.08,19,Average
Hunterr,12,12,Average
NH 10,31.3,21,Hit
Barkhaa,1.11,7,Flop
Dum Laga Ke Haisha,28.89,13,Hit
Dilliwali Zaalim Girlfriend,2.73,12,Flop
Dirty Politics,7.16,15,Flop
Badlapur,50.04,26,Hit
Roy,36.32,40,Flop
Shamitabh,19.13,45,Flop
Baby,81.67,75,Semi Hit
Khamoshiyan,11.03,11,Average
Hawaizaada Collection,3,25,Disaster
Dolly Ki Doli Collection,13.04,25,Flop
PK,330.83,90,All Time Blockbuster
Tevar,33.96,60,Flop
Alone,17.29,18,Flop
