Expense_Ratio,Fund
1.2,Midcap
1.1,Midcap
1.0,Midcap
1.2,Midcap
1.3,Midcap
1.8,Midcap
1.4,Midcap
1.4,Midcap
1.0,Midcap
1.4,Midcap
2.0,Small-cap
1.2,Small-cap
1.7,Small-cap
1.8,Small-cap
1.5,Small-cap
2.3,Small-cap
1.9,Small-cap
1.3,Small-cap
1.2,Small-cap
1.3,Small-cap
2.0,Hybrid
2.7,Hybrid
1.8,Hybrid
1.5,Hybrid
2.5,Hybrid
1.0,Hybrid
0.9,Hybrid
1.9,Hybrid
1.4,Hybrid
0.3,Hybrid
1.6,Specialty
2.7,Specialty
2.6,Specialty
2.5,Specialty
1.9,Specialty
1.5,Specialty
1.6,Specialty
2.7,Specialty
2.2,Specialty
0.7,Specialty
