carat,cut,color,clarity,depth,table,price,x,y,z
1,Fair,J,VS2,65.7,59,2811,6.14,6.07,4.01
0.9,Fair,J,VS2,65,56,2815,6.08,6.04,3.94
0.91,Fair,J,VS2,64.4,62,2854,6.06,6.03,3.89
0.91,Fair,J,VS2,65.4,60,2854,6.04,6,3.94
1.01,Fair,J,VS2,65.8,55,3190,6.29,6.24,4.12
1,Fair,J,VS2,65.3,61,3422,6.33,6.13,4.03
1.09,Fair,J,VS2,64.6,58,3443,6.48,6.41,4.16
1.01,Fair,J,VS2,59.6,62,3886,6.54,6.49,3.88
1.08,Fair,J,VS2,65.1,54,3980,6.47,6.44,4.2
0.3,Fair,J,VS2,64.8,58,416,4.24,4.16,2.72
1.5,Fair,J,VS2,64.5,59,5846,7.2,7.07,4.6
1.53,Fair,J,VS2,64.7,58,6659,7.24,7.22,4.68
2,Fair,J,VS2,65.4,58,11966,7.96,7.75,5.14
2.29,Fair,J,VS2,57,66,13701,8.8,8.6,4.98
2.01,Fair,J,VS2,64.9,60,13744,7.82,7.78,5.06
0.51,Fair,J,VS2,65.3,55,996,4.97,4.96,3.24
0.52,Fair,J,VS2,65.3,56,1030,5.05,5,3.28
0.61,Fair,J,VS2,58.2,56,1174,5.74,5.49,3.27
0.71,Fair,J,VS2,64.9,54,1435,5.63,5.53,3.62
0.7,Fair,J,VS2,64.6,58,1672,5.58,5.56,3.6
0.71,Fair,J,VS2,64.4,56,1826,5.64,5.6,3.62
0.7,Fair,J,VS2,67.4,58,1896,5.34,5.37,3.61
0.75,Fair,J,VS2,59.1,66,1944,5.99,5.82,3.49
